Long,Lat
-149.8630776,-17.48922179
-149.8631947,-17.48715973
-149.8643808,-17.48605129
-149.8662571,-17.48497237
-149.86874,-17.48407048
-149.8710833,-17.48306605
-149.8733857,-17.48224826
-149.8751534,-17.48160444
-149.8782701,-17.48151036
-149.8818429,-17.48182822
-149.8840621,-17.48215579
-149.8869116,-17.48235303
-149.8889671,-17.48234074
-149.8917095,-17.48244504
-149.8938386,-17.48223782
-149.8969601,-17.48262547
-149.900065,-17.48284954
-149.9029341,-17.48300729
-149.907751,-17.48317941
-149.9108226,-17.48364146
-149.915194,-17.48445099
-149.9184625,-17.48554064
-149.920526,-17.48697446
-149.9219981,-17.48826688
-149.9229068,-17.48977002
-149.9240127,-17.4909904
-149.9246333,-17.49265232
-149.9258733,-17.49461831
-149.9262836,-17.49647477
-149.9266621,-17.4985135
-149.9270299,-17.50028943
-149.9268532,-17.50325845
-149.9264848,-17.50697482
-149.9259495,-17.50987512
-149.9249557,-17.51461927
-149.9238019,-17.5180582
-149.922448,-17.52398391
-149.920236,-17.52929795
-149.9185167,-17.53240592
-149.9165462,-17.5351451
-149.9146174,-17.53746271
-149.9124763,-17.53970379
-149.9077763,-17.54297379
-149.9054501,-17.54551741
-149.9025517,-17.54882685
-149.8991929,-17.55234098
-149.8948601,-17.55656037
-149.8912675,-17.55969843
-149.886774,-17.56469649
-149.8838795,-17.56917991
-149.8814657,-17.57165766
-149.8783927,-17.57572882
-149.8735483,-17.58118312
-149.8706802,-17.58518669
-149.8671489,-17.58940509
-149.8634576,-17.59268873
-149.859529,-17.59503226
-149.8538281,-17.59610261
-149.8476005,-17.59703025
-149.8432303,-17.59865292
-149.8396666,-17.60076867
-149.8348686,-17.60253756
-149.8287122,-17.60546412
-149.821625,-17.60577479
-149.8134783,-17.6059469
-149.8041705,-17.60526912
-149.7981484,-17.60264942
-149.7925766,-17.59353196
-149.7869354,-17.58478455
-149.7856498,-17.58025691
-149.7861751,-17.57623388
-149.7858717,-17.57216101
-149.7830986,-17.56702513
-149.7784729,-17.56013937
-149.7750471,-17.55516074
-149.766888,-17.54484817
-149.7624414,-17.54149826
-149.760803,-17.53588074
-149.7601799,-17.53391761
-149.7627697,-17.52518634
-149.7614415,-17.51419119
-149.7599784,-17.50724611
-149.7536302,-17.49922916
-149.7503229,-17.49429581
-149.7500696,-17.49165091
-149.7516925,-17.49039132
-149.7558007,-17.48897219
-149.758218,-17.48831781
-149.7599277,-17.4875185
-149.7615666,-17.48578531
-149.7630452,-17.4842068
-149.7637683,-17.48191681
-149.7644946,-17.47856002
-149.7664002,-17.47657958
-149.768449,-17.47500808
-149.7702545,-17.47362086
-149.7733861,-17.47183461
-149.7777734,-17.47081378
-149.7818113,-17.47030883
-149.7897631,-17.47095698
-149.8015597,-17.47345747
-149.8075581,-17.47278145
-149.8124584,-17.47257359
-149.8166725,-17.47311167
-149.8309933,-17.4764064
-149.8359075,-17.47590366
-149.8413759,-17.47614728
-149.8481222,-17.47874011
-149.8537304,-17.48205705
-149.8567112,-17.48281675
-149.8583115,-17.48714699
-149.8572018,-17.48880557
-149.8630776,-17.48922179